contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL220218C00070000,2021-11-03 15:08:33,70.0,80.32,80.15,80.3,0.0,0.0,6,14,0.7631859619140625,True,REGULAR,USD
AAPL220218C00075000,2021-11-10 20:00:20,75.0,73.36,75.15,75.35,0.0,0.0,8,40,0.708010732421875,True,REGULAR,USD
AAPL220218C00080000,2021-11-05 13:30:52,80.0,71.75,70.2,70.4,0.0,0.0,8,9,0.6616244775390626,True,REGULAR,USD
AAPL220218C00085000,2021-11-08 15:06:20,85.0,66.7,65.25,65.4,0.0,0.0,1,201,0.6108437353515627,True,REGULAR,USD
AAPL220218C00090000,2021-11-12 16:20:04,90.0,60.12,60.3,60.5,0.0,0.0,4,82,0.5717816259765626,True,REGULAR,USD
AAPL220218C00095000,2021-11-10 15:27:58,95.0,54.68,55.35,55.55,0.0,0.0,2,531,0.5280808911132813,True,REGULAR,USD
AAPL220218C00100000,2021-11-12 20:35:42,100.0,50.9,50.5,50.7,0.0,0.0,10,479,0.5131884619140624,True,REGULAR,USD
AAPL220218C00105000,2021-11-15 16:44:35,105.0,45.23,45.5,45.7,-1.3400002,-2.8773892,1,512,0.4616753051757813,True,REGULAR,USD
AAPL220218C00110000,2021-11-15 17:27:30,110.0,40.43,40.65,40.9,-0.22000122,-0.5412084,12,252,0.4332332067871094,True,REGULAR,USD
AAPL220218C00115000,2021-11-12 17:07:34,115.0,35.77,35.85,36.0,0.0,0.0,29,597,0.39258419921875,True,REGULAR,USD
AAPL220218C00120000,2021-11-15 14:31:00,120.0,32.0,31.05,31.25,0.59000015,1.8783832,1,553,0.36255520263671875,True,REGULAR,USD
AAPL220218C00125000,2021-11-15 16:24:54,125.0,26.55,26.4,26.6,0.23999977,0.91219985,20,663,0.33521172607421873,True,REGULAR,USD
AAPL220218C00130000,2021-11-15 16:51:22,130.0,21.7,21.95,22.15,-0.69999886,-3.124995,22,1556,0.3131172204589844,True,REGULAR,USD
AAPL220218C00135000,2021-11-15 18:41:05,135.0,17.8,17.8,17.95,-0.30000114,-1.6574649,47,1149,0.294379614868164,True,REGULAR,USD
AAPL220218C00140000,2021-11-15 17:06:06,140.0,14.0,13.95,14.1,-0.14999962,-1.060068,123,2812,0.27912097839355465,True,REGULAR,USD
AAPL220218C00145000,2021-11-15 18:44:20,145.0,10.7,10.7,10.8,-0.15000057,-1.3824937,419,4919,0.27057614196777346,True,REGULAR,USD
AAPL220218C00150000,2021-11-15 18:22:04,150.0,8.02,7.95,8.0,-0.029999733,-0.3726675,724,14199,0.2636182037353516,False,REGULAR,USD
AAPL220218C00155000,2021-11-15 18:39:07,155.0,5.8,5.75,5.85,-0.119999886,-2.027025,850,9662,0.262275443725586,False,REGULAR,USD
AAPL220218C00160000,2021-11-15 18:44:56,160.0,4.13,4.1,4.2,-0.10999966,-2.5943317,1059,6974,0.2625195819091797,False,REGULAR,USD
AAPL220218C00165000,2021-11-15 18:37:05,165.0,2.97,2.95,2.99,-0.049999952,-1.6556276,368,7700,0.26453372192382807,False,REGULAR,USD
AAPL220218C00170000,2021-11-15 18:38:42,170.0,2.15,2.1,2.13,-0.03999996,-1.8264822,1038,53656,0.26819579467773436,False,REGULAR,USD
AAPL220218C00175000,2021-11-15 18:13:05,175.0,1.55,1.51,1.53,-0.09000003,-5.4878073,221,11581,0.2732006274414062,False,REGULAR,USD
AAPL220218C00180000,2021-11-15 18:38:50,180.0,1.1,1.1,1.13,-0.049999952,-4.347822,159,2725,0.2802806347656249,False,REGULAR,USD
AAPL220218C00185000,2021-11-15 16:47:03,185.0,0.8,0.81,0.84,-0.050000012,-5.8823543,95,1342,0.2873606420898437,False,REGULAR,USD
AAPL220218C00190000,2021-11-15 15:22:39,190.0,0.64,0.61,0.63,0.0,0.0,344,1614,0.29444064941406245,False,REGULAR,USD
AAPL220218C00195000,2021-11-15 18:30:01,195.0,0.48,0.46,0.49,-0.02000001,-4.000002,27,453,0.30298548583984375,False,REGULAR,USD
AAPL220218C00200000,2021-11-15 17:31:34,200.0,0.38,0.36,0.39,-0.02000001,-5.000003,149,1505,0.31201859863281245,False,REGULAR,USD
AAPL220218C00205000,2021-11-15 14:35:02,205.0,0.32,0.29,0.32,0.0,0.0,5,476,0.3217841259765625,False,REGULAR,USD
AAPL220218C00210000,2021-11-15 15:29:31,210.0,0.25,0.23,0.26,-0.02000001,-7.407411,1,1029,0.3305731005859375,False,REGULAR,USD
AAPL220218C00215000,2021-11-12 14:54:20,215.0,0.18,0.19,0.22,0.0,0.0,60,477,0.3403386279296875,False,REGULAR,USD
AAPL220218C00220000,2021-11-15 15:14:47,220.0,0.17,0.15,0.18,0.010000005,6.250004,20,527,0.34766277343749996,False,REGULAR,USD
AAPL220218C00225000,2021-11-12 16:24:13,225.0,0.15,0.13,0.15,0.0,0.0,1,138,0.35547519531249994,False,REGULAR,USD
AAPL220218C00230000,2021-11-08 18:26:49,230.0,0.17,0.11,0.13,0.0,0.0,54,83,0.36475244628906256,False,REGULAR,USD
AAPL220218C00235000,2021-11-09 19:36:35,235.0,0.14,0.09,0.11,0.0,0.0,50,115,0.372076591796875,False,REGULAR,USD
AAPL220218C00240000,2021-11-12 20:15:54,240.0,0.09,0.08,0.1,0.0,0.0,1,33,0.38233039550781245,False,REGULAR,USD
AAPL220218C00245000,2021-11-15 15:30:43,245.0,0.08,0.07,0.09,-0.010000005,-11.111116,6,18,0.39160764648437496,False,REGULAR,USD
AAPL220218C00250000,2021-11-15 15:21:39,250.0,0.09,0.07,0.09,0.0,0.0,2,194,0.405279384765625,False,REGULAR,USD
AAPL220218C00255000,2021-11-11 17:07:02,255.0,0.08,0.07,0.08,0.0,0.0,1,84,0.41309180664062495,False,REGULAR,USD
AAPL220218C00260000,2021-11-15 15:22:17,260.0,0.06,0.05,0.08,-0.010000002,-14.285716,1,692,0.42578699218750005,False,REGULAR,USD
